highway,bicycle,width,shoulder,geometry,speed_lim,nlanes,pave_ref,nacc,PCI
primary,,,,"LINESTRING (-118.3700429 33.9308666, -118.3700726 33.9307334)",35,2,14571.0,2,1.05
primary,,,,"LINESTRING (-118.3699705 33.9307323, -118.3700429 33.9308666)",35,5,14571.0,0,1.05
primary,,,,"LINESTRING (-118.3706782 33.9308749, -118.3700429 33.9308666)",35,10,14571.0,1,1.05
primary,,,,"LINESTRING (-118.3700429 33.9308666, -118.3693459 33.9308907)",35,10,14571.0,1,1.05
primary,,,,"LINESTRING (-118.3693459 33.9308907, -118.3689281 33.9309206)",35,6,67970.0,0,53.35
primary,,,,"LINESTRING (-118.3689281 33.9309206, -118.3677294 33.9309197)",35,6,67970.0,0,53.35
unclassified,,,,"LINESTRING (-118.3708547 33.9345424, -118.3701331 33.9345453)",20,2,22699.0,0,70.22
unclassified,,,,"LINESTRING (-118.3701331 33.9345453, -118.3699795 33.9345461)",20,2,53849.0,0,56.02
primary,,,,"LINESTRING (-118.3700398 33.9318672, -118.3700429 33.9308666)",35,8,28312.0,0,53.03
service,,,,"LINESTRING (-118.370253 33.9322341, -118.3701201 33.9322347)",30,2,59035.0,0,39.55
primary,,,,"LINESTRING (-118.3700398 33.9318672, -118.3699761 33.9321912)",35,6,59035.0,0,39.55
primary,,,,"LINESTRING (-118.3701176 33.9326903, -118.3701177 33.9326714)",35,8,59035.0,0,39.55
primary,,,,"LINESTRING (-118.3701177 33.9326714, -118.3701201 33.9322347)",35,8,59035.0,0,39.55
primary,,,,"LINESTRING (-118.3701201 33.9322347, -118.3701203 33.9321976)",35,8,59035.0,0,39.55
primary,,,,"LINESTRING (-118.3701203 33.9321976, -118.3700398 33.9318672)",35,8,59035.0,0,39.55
primary,,,,"LINESTRING (-118.3699761 33.9321912, -118.3699755 33.9326913)",35,6,59035.0,0,39.55
service,,,,"LINESTRING (-118.3701199 33.933034, -118.3702604 33.9330337)",30,2,59035.0,0,39.55
service,,,,"LINESTRING (-118.3702122 33.9326799, -118.3701176 33.9326903)",30,2,59035.0,0,39.55
service,,,,"LINESTRING (-118.3702552 33.9327725, -118.3701181 33.9327704)",30,2,59035.0,0,39.55
primary,,,,"LINESTRING (-118.3701184 33.9328075, -118.3701181 33.9327704)",35,4,59035.0,0,39.55
primary,,,,"LINESTRING (-118.3701181 33.9327704, -118.3701176 33.9326903)",35,4,59035.0,0,39.55
primary,,,,"LINESTRING (-118.3699755 33.9326913, -118.3699754 33.9328064)",35,2,59035.0,0,39.55
secondary,,,,"LINESTRING (-118.3701224 33.9334181, -118.3701199 33.933034)",35,4,59035.0,0,39.55
secondary,,,,"LINESTRING (-118.3701199 33.933034, -118.3701192 33.9329264)",35,4,59035.0,0,39.55
secondary,,,,"LINESTRING (-118.3701192 33.9329264, -118.3701184 33.9328075)",35,4,59035.0,0,39.55
